Squadra,Nome,Squadra_Appartenenza,Ruolo,Ruoli_Mantra,Prezzo,Quotazione,Quotazione_Mantra,Fantacalcio_Id
"Stefan","Chukwueze","MIL","C","W",3,6,5,4856
"Stefan","Volpato","SAS","C","W,T",9,7,7,5735
"Stefan","Alajbegovic","JUV","C","W,T",40,12,12,7436
"Stefan","Zapata D.","TOR","A","Pc",2,7,6,608
"Stefan","David","JUV","A","Pc",10,9,8,5544
"Stefan","Tourè E.","PAR","A","Pc",15,11,11,6229
"Stefan","Lucca","NAP","A","Pc",6,3,3,6215
"Stefan","Soulè","ROM","A","A",20,12,13,5734
"Stefan","Berardi","SAS","A","A",31,18,19,531
"Gabbo","Stankovic F.","VEN","P","Por",38,6,6,6248
"Gabbo","Grandi","VEN","P","Por",1,1,1,6671
"Gabbo","Tiago Gabriel","LEC","D","Dc",13,7,7,6989
"Gabbo","Akanji","INT","D","Dc",39,16,16,4159
"Gabbo","Vasquez","GEN","D","Dc,Ds",24,9,10,5514
"Gabbo","Cuenca A.","COM","D","Dc,Ds",8,1,1,7407
"Gabbo","Kalulu","JUV","D","Dc,Dd",31,13,14,4976
"Gabbo","Bartesaghi","MIL","D","Ds,E",13,8,8,6496
"Gabbo","Arizala","UDI","D","Ds,E",6,4,4,7312
"Gabbo","Valle","COM","D","Ds,E",11,6,6,6867
"Gabbo","Wesley","ROM","D","E",41,17,16,7181
"Gabbo","Miller L.","UDI","C","M,C",6,3,3,7208
"Gabbo","Calò","FRO","C","M,C",16,7,8,7472
"Gabbo","Pisilli","ROM","C","C",7,5,5,6190
"Gabbo","Sohm","VEN","C","C",9,5,5,5319
"Gabbo","Hasa","FRO","C","C,T",2,2,2,6903
"Gabbo","Miretti","JUV","C","C,T",2,3,3,5813
"Gabbo","Cambiaghi","BOL","C","W,A",6,8,7,4436
"Gabbo","Baturina","COM","C","T",50,19,18,7126
"Gabbo","Liberali","COM","C","T",10,6,5,6678
"Gabbo","Dovbyk","BOL","A","Pc",68,16,16,6675
"Gabbo","Simeone","TOR","A","Pc",50,15,15,2061
"Gabbo","Frigan","PAR","A","A",3,5,5,7213
"Pezzu","Bijlow","GEN","P","Por",34,8,8,7332
"Pezzu","Stolz","GEN","P","Por",1,1,1,6569
"Pezzu","Ziolkowski","ROM","D","Dc",1,1,1,7260
"Pezzu","Gila","MIL","D","Dc",33,12,12,5833
"Pezzu","Solet","UDI","D","Dc",34,13,13,6956
"Pezzu","Vitik","BOL","D","Dc",15,5,5,7068
"Pezzu","Pongracic","FIO","D","Dc",4,4,4,5603
"Pezzu","Comuzzo","TOR","D","Dc",15,6,6,6495
"Pezzu","Viery","FIO","D","Dc,Ds",20,6,7,7410
"Pezzu","Franjic","VEN","D","B,Ds,E",3,2,2,7478
"Pezzu","Rensch","ROM","D","B,Dd,E",13,5,6,6986
"Pezzu","Mitaj","GEN","D","Ds,E",1,4,4,7537
"Pezzu","Alhassane","BOL","D","Ds,E",1,2,2,7483
"Pezzu","Holm","BOL","D","Dd,E",4,5,5,5678
"Pezzu","Cristante","ROM","C","M,C",20,8,9,779
"Pezzu","Romano","CAG","C","M,C",14,5,6,7311
"Pezzu","Konè M.","ROM","C","M,C",46,10,11,5589
"Pezzu","Milla","COM","C","M,C",5,5,5,7412
"Pezzu","Ndour","FIO","C","C",12,8,8,6294
"Pezzu","Caqueret","COM","C","C,T",14,6,6,5036
"Pezzu","Pellegrini Lo.","ROM","C","C,T",10,10,10,530
"Pezzu","Pierotti","LEC","C","W",3,6,5,6549
"Pezzu","Njie","TOR","C","W,A",2,4,3,6827
"Pezzu","De Bruyne","NAP","C","T",24,15,14,2517
"Pezzu","Unai Gomez","UDI","C","T",5,7,6,6783
"Pezzu","Scamacca","ATA","A","Pc",90,19,18,2137
"Pezzu","Bowie","SAS","A","Pc",7,10,9,7347
"Pezzu","Kulenovic","TOR","A","Pc",2,4,3,7349
"Pezzu","Nkunku","MIL","A","A",29,13,14,4728
"Pezzu","Robinson J.","MON","A","A",3,4,4,7546
"Pezzu","Dia","LAZ","A","A",8,10,11,5672
"Pezzu","Laurientè","SAS","A","A",26,15,16,6060
"Angelico","Suzuki","PAR","P","Por",14,7,7,6641
"Angelico","Corvi","PAR","P","Por",30,1,1,6662
"Angelico","Ndiaye","PAR","D","Dc",1,1,1,7202
"Angelico","Lucchesi","MON","D","Dc",1,4,4,6659
"Angelico","Mlacic","UDI","D","Dc",2,1,1,7356
"Angelico","Bastoni","INT","D","Dc",49,14,14,2120
"Angelico","Ebosse","UDI","D","Dc,Ds",1,2,2,5994
"Angelico","Carboni A.","MON","D","Dc,Ds",21,3,4,4925
"Angelico","Cabal","JUV","D","B,Ds,E",3,1,1,6039
"Angelico","Zappa","CAG","D","B,Dd,E",3,4,4,4461
"Angelico","Mazzocchi","NAP","D","Ds,Dd,E",1,1,1,5481
"Angelico","Carboni F.","PAR","D","Ds,E",1,1,1,6149
"Angelico","Kaiki","COM","D","Ds,E",20,7,7,7414
"Angelico","Tavares N.","LAZ","D","Ds,E",9,6,6,5620
"Angelico","Bakoune","MON","D","Dd,E",1,1,1,7476
"Angelico","Vojvoda","UDI","D","Dd,E",15,8,8,4994
"Angelico","Sulemana I.","ATA","C","M,C",1,3,3,6024
"Angelico","De Roon","ATA","C","M,C",5,4,5,22
"Angelico","Piotrowski","UDI","C","M,C",8,5,6,7198
"Angelico","Ordonez C.","PAR","C","M,C",1,2,2,7138
"Angelico","Ilic","TOR","C","C",1,1,1,5007
"Angelico","Sucic P.","INT","C","C",21,8,8,7070
"Angelico","Akinsanmiro","MON","C","C",7,6,6,6593
"Angelico","Mandragora","FIO","C","C",11,9,9,1933
"Angelico","Helgason","VEN","C","C,T",1,3,3,5872
"Angelico","Koopmeiners","JUV","C","C,T",8,5,5,5685
"Angelico","Kvernadze","FRO","A","W,A",3,4,5,6204
"Angelico","Orsolini","BOL","C","W,A",75,26,25,2167
"Angelico","Paz N.","COM","C","T,A",129,30,28,6875
"Angelico","Castro S.","ROM","A","Pc",50,14,13,6572
"Angelico","Rrahmani Al.","VEN","A","Pc",5,8,7,7449
"Angelico","Gueye","UDI","A","Pc",1,4,3,7272
"Fritto","Svilar","ROM","P","Por",100,18,18,5841
"Fritto","Mandas","LAZ","P","Por",45,9,9,6482
"Fritto","Motta","LAZ","P","Por",18,1,1,7337
"Fritto","Djimsiti","ATA","D","Dc",10,7,7,787
"Fritto","Marcandalli","GEN","D","Dc",12,6,6,6660
"Fritto","Comert","TOR","D","Dc",9,4,4,7526
"Fritto","Provstgaard","LAZ","D","Dc",11,3,3,7012
"Fritto","Stones","INT","D","Dc",33,12,12,2514
"Fritto","Marusic","LAZ","D","Ds,Dd,E",15,6,6,2188
"Fritto","Pedraza","LAZ","D","Ds,E",11,5,5,4817
"Fritto","Floriani Mussolini","LAZ","D","Dd,E",6,3,3,7131
"Fritto","Belahyane","LAZ","C","M,C",2,1,1,6191
"Fritto","Karlstrom","UDI","C","M,C",11,6,7,6680
"Fritto","Rovella","LAZ","C","M,C",15,6,7,4459
"Fritto","Nicolussi Caviglia","PAR","C","M,C",11,6,7,4349
"Fritto","Przyborek","LAZ","C","W,T",1,1,1,7345
"Fritto","Messias","GEN","C","W,T",1,3,3,4970
"Fritto","Santos A.","NAP","A","W,A",45,14,15,7351
"Fritto","Baldanzi","GEN","C","T",12,11,10,5823
"Fritto","Cutrone","MON","A","Pc",11,9,8,2155
"Fritto","Kean","FIO","A","Pc",102,25,25,2097
"Fritto","Gimenez","MIL","A","Pc",6,6,5,7008
"Fritto","Adams C.","TOR","A","A",6,9,10,6646
"Putin","Skorupski","BOL","P","Por",51,10,10,133
"Putin","Daffara","PAR","P","Por",4,7,7,7411
"Putin","Pessina Mas.","BOL","P","Por",4,1,1,7172
"Putin","Kofler","CAG","D","Dc",4,5,5,7532
"Putin","Palma","UDI","D","Dc",2,2,2,6925
"Putin","Halhal","VEN","D","Dc",4,4,4,7538
"Putin","Moreno M.","VEN","D","Dc",9,5,5,6890
"Putin","Beukema","NAP","D","Dc",7,6,6,6202
"Putin","Marianucci","NAP","D","Dc",2,1,1,6809
"Putin","Olivera","NAP","D","B,Ds,E",15,5,6,5840
"Putin","Britschgi","PAR","D","Ds,Dd,E",5,3,4,7255
"Putin","Valeri","PAR","D","Ds,E",12,8,8,5862
"Putin","Di Lorenzo","NAP","D","Dd,E",36,12,12,2816
"Putin","Bellanova","ATA","D","Dd,E",11,6,6,4887
"Putin","Cremaschi","PAR","C","E,C",2,1,1,7276
"Putin","Fitz-Jim","TOR","C","M,C",4,4,5,7535
"Putin","Cataldi","LAZ","C","M,C",1,4,5,333
"Putin","Coulibaly L.","LEC","C","M,C",9,6,7,5504
"Putin","Fabbian","FIO","C","C,T",1,4,4,6206
"Putin","Taylor K.","LAZ","C","C,T",37,13,13,7314
"Putin","Perez K.","VEN","C","C,T",3,5,5,6994
"Putin","Brescianini","FIO","C","C,T",1,3,3,4947
"Putin","Odgaard","BOL","C","T",7,8,7,2765
"Putin","Kolo Muani","JUV","A","Pc",120,26,26,5951
"Putin","Dallinga","BOL","A","Pc",5,8,7,6643
"Putin","Hojlund","NAP","A","Pc",109,28,28,6052
"Putin","Camarda","MIL","A","Pc",4,5,4,6519
"Putin","Stulic","LEC","A","Pc",2,7,6,7252
"Putin","Adams A.","VEN","A","Pc",28,12,11,7484
"Putin","Giovane","NAP","A","A",1,4,4,7162
"Riccardo","Palmisani","FRO","P","Por",13,4,4,6415
"Riccardo","Carnesecchi","ATA","P","Por",87,16,16,4431
"Riccardo","Sportiello","ATA","P","Por",1,1,1,4
"Riccardo","Koulierakis","ROM","D","Dc",30,8,8,7529
"Riccardo","Marin R.","NAP","D","Dc",21,2,2,6638
"Riccardo","Rrahmani","NAP","D","Dc",45,14,14,4409
"Riccardo","Bracaglia","FRO","D","Dc,Ds",9,5,5,7469
"Riccardo","Walukiewicz","SAS","D","Dc,Dd",11,4,4,4374
"Riccardo","Idrissi R.","CAG","D","Ds,E",1,3,3,7125
"Riccardo","Haps","VEN","D","Ds,E",8,5,5,5695
"Riccardo","Lazzari","LAZ","D","Dd,E",1,2,2,2263
"Riccardo","Oyono A.","FRO","D","Dd,E",5,5,5,6238
"Riccardo","Veiga D.","LEC","D","Dd,E",10,5,5,6990
"Riccardo","Zappacosta","ATA","D","Dd,E",13,8,8,554
"Riccardo","Missori","SAS","D","Dd,E",1,1,1,6189
"Riccardo","Fagioli","FIO","C","M,C",9,8,9,4465
"Riccardo","Calhanoglu","INT","C","M,C",67,27,28,2194
"Riccardo","Stankovic A.","INT","C","M,C",13,3,3,6503
"Riccardo","Lipani","SAS","C","M,C",5,2,2,6246
"Riccardo","Amorim","GEN","C","M,C",1,4,5,7341
"Riccardo","Busio","VEN","C","M,C",9,5,6,5507
"Riccardo","Winks","CAG","C","M,C",2,6,7,4260
"Riccardo","McKennie","JUV","C","C",29,17,17,4973
"Riccardo","Koutsoupias","FRO","C","C",1,4,4,7474
"Riccardo","Bernardeschi","BOL","C","W,T",19,9,9,184
"Riccardo","Zaccagni","LAZ","C","W,A",48,16,15,632
"Riccardo","Raimondo","FRO","A","Pc",7,7,6,5436
"Riccardo","Geubbels","LEC","A","Pc",20,9,8,5029
"Riccardo","Mota","MON","A","A",5,5,5,5882
"Dima","Meret","NAP","P","Por",50,11,11,572
"Dima","Caprile","CAG","P","Por",40,9,9,4360
"Dima","Mancini","ROM","D","Dc",45,15,15,2296
"Dima","Valenti","PAR","D","Dc",13,4,4,5307
"Dima","Romagnoli","LAZ","D","Dc",20,7,7,460
"Dima","Gaspar K.","LEC","D","Dc",13,5,5,6632
"Dima","Monterisi","FRO","D","Dc",14,6,6,4952
"Dima","Candè","SAS","D","Dc,Ds",10,3,3,6985
"Dima","Martin","GEN","D","Ds,E",2,5,5,2593
"Dima","Correia T.","VEN","D","Dd,E",13,4,4,4845
"Dima","Sow","GEN","C","M,C",10,7,8,5946
"Dima","Pessina","MON","C","M,C",13,7,8,2741
"Dima","Basic","VEN","C","M,C",18,6,7,5674
"Dima","Casadei","TOR","C","C,T",17,10,10,5888
"Dima","Adzic","SAS","C","C,T",16,5,5,6677
"Dima","Politano","NAP","C","W",19,10,9,536
"Dima","Conceicao","JUV","C","W,A",38,12,11,6884
"Dima","Ghedjemis","FRO","A","W,A",13,9,10,6530
"Dima","Colpani","MON","C","T",12,8,7,5878
"Dima","Gudmundsson A.","FIO","C","T,A",28,13,12,5800
"Dima","Ratkov","LAZ","A","Pc",20,10,9,7313
"Dima","Pinamonti","SAS","A","Pc",36,13,12,2038
"Dima","Dybala","ROM","A","A",30,14,15,309
"Dima","Vitinha O.","GEN","A","A",10,8,8,6164
"Qara","Turati","SAS","P","Por",9,1,1,4867
"Qara","Muric","SAS","P","Por",32,7,7,4236
"Qara","Thiam","MON","P","Por",21,5,5,4485
"Qara","Akpoguma","FRO","D","Dc",10,3,3,7540
"Qara","Coco","TOR","D","Dc",20,7,7,6642
"Qara","Delli Carri","MON","D","Dc",16,4,4,2115
"Qara","Kabasele","UDI","D","Dc",16,4,4,4263
"Qara","Ranieri L.","FIO","D","Dc,Ds",3,3,3,4378
"Qara","Zè Pedro","CAG","D","Dc,Dd",15,5,6,7274
"Qara","Birindelli","MON","D","Ds,Dd,E",11,4,5,5838
"Qara","Spinazzola","NAP","D","Ds,E",17,8,8,1852
"Qara","Kamara H.","UDI","D","Ds,E",7,6,6,5555
"Qara","Zortea","BOL","D","Dd,E",11,6,6,4433
"Qara","Keita M.","PAR","C","M,C",14,5,6,6898
"Qara","Ricci S.","MIL","C","M,C",6,4,4,5453
"Qara","Locatelli","JUV","C","M,C",25,8,9,827
"Qara","Barella","INT","C","C",42,17,17,1870
"Qara","Douglas Luiz","JUV","C","C",10,4,4,4911
"Qara","Dele-Bashiru","LAZ","C","C,T",3,5,5,6629
"Qara","Oristanio","TOR","C","W,T",7,7,7,6218
"Qara","Isaksen","LAZ","C","W,A",21,9,8,6398
"Qara","Neres","NAP","A","W,A",25,6,7,6831
"Qara","Zaniolo","UDI","C","T,A",55,18,17,2766
"Qara","Piccoli","FIO","A","Pc",9,8,7,4359
"Qara","Krstovic","ATA","A","Pc",60,18,17,6435
"Qara","Borrelli","CAG","A","Pc",3,4,3,6243
"Qara","Raspadori","ATA","A","A",28,13,14,4371
"Rod","Lezzerini","FIO","P","Por",1,1,1,158
"Rod","Christensen O.","FIO","P","Por",1,1,1,6403
"Rod","De Gea","FIO","P","Por",63,13,13,2521
"Rod","Mina","CAG","D","Dc",22,8,8,4210
"Rod","Calvani","FRO","D","Dc",7,4,4,7467
"Rod","Schingtienne","VEN","D","Dc",10,3,3,6892
"Rod","Valdepenas","FIO","D","Dc,Ds",30,6,7,7294
"Rod","Rodriguez Ju.","CAG","D","Dc,Ds",10,3,4,7268
"Rod","Obert","CAG","D","B,Ds,E",11,7,7,5701
"Rod","Jimenez A.","FIO","D","Ds,Dd,E",30,8,9,6531
"Rod","Joao Mario","FIO","D","Dd,E",8,3,3,7175
"Rod","Matic","SAS","C","M,C",15,5,6,2528
"Rod","Moro N.","BOL","C","M,C",10,4,4,6054
"Rod","Ferguson","BOL","C","M,C",20,7,8,5858
"Rod","Bernabè","PAR","C","C",16,7,7,6666
"Rod","Pasalic","ATA","C","C,T",13,9,9,2077
"Rod","Berisha M.","LEC","C","C,T",10,5,5,6015
"Rod","Thorstvedt","SAS","C","C,T",20,10,10,5844
"Rod","Mastantuono","FIO","C","W,T",62,12,12,7078
"Rod","Vergara","NAP","C","W,T",20,8,8,7223
"Rod","Vaz","ROM","A","Pc",1,1,1,6981
"Rod","Morata","COM","A","Pc",4,4,3,313
"Rod","Douvikas","COM","A","Pc",71,20,20,7017
"Rod","De Ketelaere","ATA","A","A",44,17,18,5995
"Mirko","Samooja","LEC","P","Por",1,1,1,6523
"Mirko","Falcone","LEC","P","Por",39,8,8,2134
"Mirko","Antov","MON","D","Dc",1,1,1,5399
"Mirko","Dragusin","FIO","D","Dc",26,8,8,5365
"Mirko","Otoa","GEN","D","Dc",9,2,2,6977
"Mirko","Bertola","UDI","D","Dc,Ds,Dd",21,4,6,5820
"Mirko","De Winter","MIL","D","Dc,Dd",10,3,4,5739
"Mirko","Helland","BOL","D","Dc,Dd",13,2,2,7326
"Mirko","Parisi","FIO","D","Ds,E",1,5,5,5449
"Mirko","Gallo","LEC","D","Ds,E",16,6,6,4502
"Mirko","Norton-Cuffy","GEN","D","Dd,E",20,8,8,6814
"Mirko","Diouf","INT","C","E,C",27,8,9,6274
"Mirko","Adopo","CAG","C","M,C",11,6,7,4870
"Mirko","Gaetano","ATA","C","M,C",28,7,8,4364
"Mirko","Masini","GEN","C","M,C",1,2,2,6917
"Mirko","Samardzic","ATA","C","C,T",40,12,12,5119
"Mirko","Zhegrova","JUV","C","W",8,6,5,5761
